epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.371,1.76271,1.44466,1.28255,0.57415,0.5889,0.59773,0.29864,1.27757,2.92536,0.89235,0.000663551,0.000663551,0.000663551
2,212.665,1.80678,1.46564,1.30046,0.60791,0.56878,0.59625,0.29654,1.33411,3.25517,0.92565,0.00130388,0.00130388,0.00130388
3,292.872,1.79372,1.44275,1.2948,0.59597,0.58407,0.57365,0.27197,1.35528,2.54312,0.93008,0.00191781,0.00191781,0.00191781
4,379.194,1.77966,1.44271,1.30057,0.62555,0.58568,0.61483,0.2969,1.31571,3.31951,0.92216,0.0018812,0.0018812,0.0018812
5,475.343,1.77186,1.42702,1.30554,0.60905,0.60284,0.62854,0.30545,1.31693,3.04086,0.91944,0.0018416,0.0018416,0.0018416
6,568.894,1.77615,1.41754,1.29978,0.60849,0.58268,0.59793,0.29515,1.33233,3.69189,0.9225,0.001802,0.001802,0.001802
7,660.784,1.75724,1.38037,1.2925,0.64609,0.56476,0.60761,0.30024,1.32069,2.28901,0.90955,0.0017624,0.0017624,0.0017624
8,752.429,1.73251,1.34747,1.27262,0.63671,0.59372,0.62209,0.30551,1.31594,2.58188,0.90775,0.0017228,0.0017228,0.0017228
9,846.287,1.71803,1.35436,1.2664,0.61224,0.6074,0.62411,0.30183,1.32666,2.25192,0.92529,0.0016832,0.0016832,0.0016832
10,939.932,1.70979,1.31687,1.25512,0.6003,0.59855,0.61208,0.30281,1.33273,2.55472,0.91741,0.0016436,0.0016436,0.0016436
11,1033.87,1.73321,1.30074,1.27742,0.63906,0.61866,0.64551,0.32286,1.31922,2.37607,0.91823,0.001604,0.001604,0.001604
12,1129.02,1.70025,1.30487,1.2602,0.64014,0.59453,0.62829,0.30784,1.33854,2.1493,0.92818,0.0015644,0.0015644,0.0015644
13,1220.14,1.68384,1.26651,1.24108,0.63609,0.60097,0.64116,0.31598,1.36229,2.3631,0.93395,0.0015248,0.0015248,0.0015248
14,1311.33,1.68154,1.269,1.24899,0.66027,0.59614,0.63262,0.31239,1.34023,2.52549,0.9266,0.0014852,0.0014852,0.0014852
15,1399.73,1.65247,1.21957,1.2271,0.65847,0.60177,0.64134,0.31942,1.32553,2.56113,0.92026,0.0014456,0.0014456,0.0014456
16,1488.32,1.63713,1.20108,1.21772,0.64558,0.58085,0.63288,0.31134,1.32143,2.89158,0.91227,0.001406,0.001406,0.001406
17,1573.24,1.64461,1.20844,1.22337,0.63001,0.61545,0.64208,0.32147,1.32283,2.17411,0.91527,0.0013664,0.0013664,0.0013664
18,1665.66,1.63171,1.20468,1.22026,0.64165,0.62027,0.64228,0.32022,1.33422,2.42974,0.91543,0.0013268,0.0013268,0.0013268
19,1755.43,1.62083,1.17054,1.20348,0.64288,0.61551,0.64339,0.31903,1.35344,2.05165,0.92392,0.0012872,0.0012872,0.0012872
20,1842.71,1.62217,1.18749,1.21876,0.65391,0.58977,0.62895,0.31885,1.31858,2.59848,0.91284,0.0012476,0.0012476,0.0012476
21,1928.68,1.60491,1.16247,1.20321,0.67223,0.60338,0.65738,0.32512,1.3321,2.39647,0.93021,0.001208,0.001208,0.001208
22,2024.18,1.56907,1.1415,1.18415,0.64775,0.62349,0.64811,0.32484,1.35467,2.57344,0.92935,0.0011684,0.0011684,0.0011684
23,2117.98,1.58404,1.14667,1.1824,0.63703,0.63958,0.66074,0.32296,1.34896,2.20495,0.91915,0.0011288,0.0011288,0.0011288
24,2209.37,1.56695,1.12073,1.16832,0.6598,0.60981,0.64777,0.31361,1.39246,2.05037,0.93169,0.0010892,0.0010892,0.0010892
25,2300.1,1.56075,1.09404,1.16313,0.6665,0.6074,0.64965,0.31345,1.35854,2.42487,0.92305,0.0010496,0.0010496,0.0010496
26,2390.1,1.54419,1.06948,1.17012,0.66188,0.61464,0.6382,0.31141,1.35576,2.26846,0.9239,0.00101,0.00101,0.00101
