epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.121,1.7636,2.51989,1.40468,0.35264,0.35101,0.29512,0.14201,1.29072,11.2168,1.04791,0.00998012,0.00332671,0.00998012,0.00332671,0.00998012,0.00332671,0.00998012,0.00332671
2,228.453,1.87179,1.94477,1.45186,0.20232,0.26953,0.13427,0.05855,1.47839,43.7556,1.22722,0.0197823,0.00659411,0.0197823,0.00659411,0.0197823,0.00659411,0.0197823,0.00659411
3,308.299,2.05501,2.17743,1.58657,0.21418,0.25988,0.13816,0.05737,1.54103,27.0957,1.31364,0.0293865,0.0097955,0.0293865,0.0097955,0.0293865,0.0097955,0.0293865,0.0097955
4,386.683,2.10995,2.18389,1.63861,0.26594,0.2324,0.17111,0.07358,1.51733,25.5911,1.25868,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,464.627,2.00792,2.03692,1.57451,0.26749,0.22806,0.18111,0.07747,1.45564,12.8795,1.22722,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,543.089,1.98993,1.96788,1.53522,0.29413,0.31292,0.23882,0.10697,1.42641,13.2569,1.18249,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,620.183,1.9222,1.89083,1.50928,0.24097,0.33558,0.22384,0.10742,1.39005,9.80853,1.19436,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,698.273,1.89537,1.85097,1.48665,0.28766,0.3216,0.23747,0.11378,1.33094,14.9969,1.14238,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,776.183,1.86232,1.79797,1.47067,0.29323,0.29364,0.23702,0.11174,1.37001,16.0664,1.15295,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,854.164,1.82752,1.73866,1.44218,0.26225,0.35439,0.22052,0.10482,1.31868,19.8094,1.09969,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,931.095,1.82267,1.71082,1.44313,0.35789,0.33896,0.29006,0.14337,1.32829,13.5038,1.13514,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1007.52,1.8169,1.69003,1.43275,0.37286,0.38139,0.32598,0.16385,1.29199,5.47205,1.0975,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1084.66,1.78243,1.61566,1.40579,0.34688,0.33799,0.28729,0.1427,1.2905,17.4919,1.07807,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1161.24,1.77694,1.64172,1.42194,0.38665,0.34523,0.31367,0.1593,1.26147,13.3394,1.08661,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1237.85,1.75228,1.60543,1.40839,0.33465,0.34667,0.28295,0.13764,1.29034,11.5169,1.08914,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1315.4,1.73524,1.60991,1.39001,0.39055,0.37367,0.33091,0.16706,1.26629,9.9016,1.07011,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1393.5,1.72676,1.56968,1.38108,0.32974,0.38261,0.29051,0.14772,1.27792,11.6726,1.09319,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1471.29,1.72694,1.5533,1.37683,0.34849,0.39073,0.29747,0.14962,1.25913,11.5411,1.07096,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1547.97,1.70624,1.51075,1.36576,0.40618,0.41707,0.3711,0.1872,1.28884,7.28134,1.09949,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1626.57,1.68182,1.49562,1.3507,0.37781,0.36307,0.31964,0.16532,1.26196,10.0378,1.06681,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1704.45,1.6769,1.49205,1.34677,0.37655,0.38476,0.32456,0.16465,1.30119,9.39463,1.10209,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1781.73,1.68276,1.47199,1.34248,0.42036,0.39826,0.35339,0.1825,1.24228,9.59653,1.0392,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1860.69,1.67503,1.47215,1.34405,0.34265,0.38091,0.31041,0.16279,1.24519,14.4416,1.05424,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1938.54,1.66767,1.46371,1.34732,0.40697,0.40019,0.35778,0.1863,1.22444,10.3525,1.04918,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2015.36,1.65993,1.43203,1.3241,0.41107,0.3891,0.34893,0.18254,1.26891,8.47242,1.06578,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2091.79,1.66043,1.42656,1.32425,0.37548,0.42334,0.349,0.18136,1.2678,8.64132,1.07576,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2169.27,1.65441,1.43365,1.32082,0.42453,0.35583,0.35377,0.18579,1.2446,13.2238,1.06309,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2244.11,1.62958,1.39865,1.29912,0.4787,0.41418,0.40932,0.2128,1.21364,7.42555,1.03371,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2320.92,1.62145,1.37362,1.30414,0.39182,0.38766,0.347,0.18407,1.21364,11.0657,1.04054,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2397.09,1.60871,1.38326,1.30413,0.42345,0.37126,0.36262,0.19097,1.22841,13.2324,1.03213,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2473.38,1.61404,1.37163,1.29753,0.43756,0.41373,0.37814,0.19817,1.22902,7.78869,1.05276,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2550.26,1.60189,1.34238,1.2917,0.37541,0.39875,0.35059,0.19415,1.20419,11.7918,1.02161,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2627.41,1.59824,1.36657,1.30033,0.4067,0.3973,0.36505,0.19428,1.21928,12.8,1.04217,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2705.23,1.60167,1.33965,1.2889,0.41453,0.39103,0.37699,0.20362,1.20859,10.4308,1.01397,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2782.51,1.58,1.32666,1.28584,0.4208,0.4186,0.3871,0.205,1.22369,9.92627,1.04063,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2860.03,1.57081,1.29629,1.26973,0.42157,0.37223,0.36089,0.19376,1.20234,11.9867,1.01171,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2938.79,1.57937,1.3065,1.27295,0.40418,0.41755,0.38669,0.20744,1.19952,9.36983,1.02036,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3015.53,1.57616,1.30376,1.26947,0.39552,0.38237,0.35753,0.19318,1.20055,12.1192,1.01529,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3093.36,1.55795,1.29011,1.26367,0.44372,0.43105,0.40147,0.21484,1.19364,8.94726,1.01012,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3171.28,1.56844,1.28328,1.26744,0.42823,0.45898,0.41178,0.21949,1.20606,8.41262,1.02386,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3248.1,1.53656,1.25357,1.24798,0.40977,0.42237,0.3753,0.19819,1.2232,9.3626,1.03398,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3325.04,1.54266,1.24812,1.25844,0.39827,0.40646,0.37056,0.19861,1.21796,13.6303,1.02681,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3402.72,1.54251,1.27123,1.24793,0.44591,0.39634,0.38173,0.20571,1.20825,10.0046,1.01642,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
